ci,X1,X2,X3,X4,X5
0,-15.408101354994836,-3.802433638819644,0.4153375573783573,-1.6108731504707052,-2.6732436879166634
1,-16.94058068348584,-4.46259871683191,1.46373821703906,-2.070125783664649,-1.893338065133834
2,-8.834272632147945,-3.3534616705754186,0.4398803231691003,-1.700470228190248,0.9632793870998756
3,-1.4005940588788732,8.623963924341263,-1.5546111694332503,1.6387418044062143,2.108216985216442
4,48.97616216933046,1.6411670206959352,15.430344170867594,-0.1520714822125085,-0.7555546285993618
5,0.6071556006768262,9.465686477493795,-1.440612851288002,-4.506307110985717,3.041548798385677
6,-3.9152178006791196,-0.08609058033294954,0.31285581922942257,2.714416335210197,1.8766679452679547
7,-5.550359105650637,-0.41331969614023634,-0.09141577840830255,-2.320960675032137,4.731950101843032
8,-4.955956070617514,-2.5789147429416297,0.6744791348504999,-1.1092182411084677,2.3770902490788184
9,-4.576264940416531,0.42090288972522777,-0.4702531741241286,5.973345861468143,0.16226645681444085
10,-7.803032932943916,-2.550076164484992,0.6629225065200488,0.8211507026365007,1.8027477523282425
11,-8.617131319175583,-2.304170896607383,-0.9109136693337011,0.6290187481769944,-5.032430596650721
12,-16.23390392848019,-5.129941238347747,0.9084387109376024,-3.730212866305527,-0.880098996842438
13,-18.53410929264649,-4.923500817700274,1.2294947320679757,-2.2035489225245337,-3.4855786822969708
14,-9.351141929174641,-3.1026779280381347,0.9318840318713628,0.3085885778347218,-1.5157148870000303
15,-8.133241769560927,-2.1798569027610473,0.465277146505982,-1.6377603095584417,2.9915893414301764
16,-4.052358818893218,0.18226357639272417,-1.032055288162762,5.01078924657056,-1.4925785281597321
17,-1.4557659237869325,1.156104265021283,-1.0691882315208592,4.500937612569784,-1.0553194831037938
18,66.77916213612909,-13.238021816587453,-9.057456274169377,-1.2878365452616152,-0.21429205127061923
19,11.056137964967402,15.023116519662544,-3.2306799107120985,-3.172417209617196,-1.1259306591553904
20,12.317325917309526,14.66603039193707,-2.8509667281918074,-1.3114706402027745,-4.133451841375081
21,-5.916272601681739,-3.774108657910062,0.36584027667695923,-1.3572765329262477,2.3276012479685786
22,-0.3203407943824253,-1.3049007145561182,-1.1763529868168752,0.6464557503043631,-0.41702065742575783
23,2.262702169184105,2.0248391173651337,-0.4159865649528019,5.927105058883287,2.2915944994971524
