ci,InstrumentUnit,Supergroup,TestCondition,Barcode,Row
0,unit003,Sgroup1,Control,641127601,1.0
1,unit003,Sgroup1,Control,641127603,1.0
2,unit003,Sgroup1,Control,641127604,1.0
3,unit003,Sgroup1,T01,641127601,2.0
4,unit003,Sgroup1,T01,641127603,2.0
5,unit003,Sgroup1,T01,641127604,2.0
6,unit003,Sgroup1,T02,641127601,3.0
7,unit003,Sgroup1,T02,641127603,3.0
8,unit003,Sgroup1,T02,641127604,3.0
9,unit003,Sgroup2,Control,641127601,4.0
10,unit003,Sgroup2,Control,641127603,4.0
11,unit003,Sgroup2,Control,641127604,4.0
12,unit004,Sgroup1,Control,641127605,4.0
13,unit004,Sgroup1,Control,641127614,4.0
14,unit004,Sgroup1,Control,641127615,4.0
15,unit004,Sgroup2,Control,641127605,1.0
16,unit004,Sgroup2,Control,641127614,1.0
17,unit004,Sgroup2,Control,641127615,1.0
18,unit004,Sgroup2,T01,641127605,2.0
19,unit004,Sgroup2,T01,641127614,2.0
20,unit004,Sgroup2,T01,641127615,2.0
21,unit004,Sgroup2,T02,641127605,3.0
22,unit004,Sgroup2,T02,641127614,3.0
23,unit004,Sgroup2,T02,641127615,3.0
